Code,Area,Year,Affordable Housing Supply
E09000001,City of London,1998-99,0
E09000002,Barking and Dagenham,1998-99,245
E09000003,Barnet,1998-99,413
E09000004,Bexley,1998-99,182
E09000005,Brent,1998-99,309
E09000006,Bromley,1998-99,270
E09000007,Camden,1998-99,280
E09000008,Croydon,1998-99,446
E09000009,Ealing,1998-99,335
E09000010,Enfield,1998-99,287
E09000011,Greenwich,1998-99,379
E09000012,Hackney,1998-99,755
E09000013,Hammersmith and Fulham,1998-99,330
E09000014,Haringey,1998-99,418
E09000015,Harrow,1998-99,99
E09000016,Havering,1998-99,74
E09000017,Hillingdon,1998-99,481
E09000018,Hounslow,1998-99,260
E09000019,Islington,1998-99,305
E09000020,Kensington and Chelsea,1998-99,264
E09000021,Kingston upon Thames,1998-99,102
E09000022,Lambeth,1998-99,354
E09000023,Lewisham,1998-99,495
E09000024,Merton,1998-99,144
E09000025,Newham,1998-99,517
E09000026,Redbridge,1998-99,125
E09000027,Richmond upon Thames,1998-99,107
E09000028,Southwark,1998-99,282
E09000029,Sutton,1998-99,70
E09000030,Tower Hamlets,1998-99,416
E09000031,Waltham Forest,1998-99,482
E09000032,Wandsworth,1998-99,276
E09000033,Westminster,1998-99,308
E12000007,London,1998-99,"9,810"
E92000001,England,1998-99,"42,453"
E09000001,City of London,1999-00,30
E09000002,Barking and Dagenham,1999-00,241
E09000003,Barnet,1999-00,191
E09000004,Bexley,1999-00,156
E09000005,Brent,1999-00,356
E09000006,Bromley,1999-00,335
E09000007,Camden,1999-00,353
E09000008,Croydon,1999-00,529
E09000009,Ealing,1999-00,246
E09000010,Enfield,1999-00,206
E09000011,Greenwich,1999-00,216
E09000012,Hackney,1999-00,419
E09000013,Hammersmith and Fulham,1999-00,173
E09000014,Haringey,1999-00,287
E09000015,Harrow,1999-00,87
E09000016,Havering,1999-00,191
E09000017,Hillingdon,1999-00,301
E09000018,Hounslow,1999-00,167
E09000019,Islington,1999-00,206
E09000020,Kensington and Chelsea,1999-00,318
E09000021,Kingston upon Thames,1999-00,88
E09000022,Lambeth,1999-00,274
E09000023,Lewisham,1999-00,236
E09000024,Merton,1999-00,253
E09000025,Newham,1999-00,374
E09000026,Redbridge,1999-00,199
E09000027,Richmond upon Thames,1999-00,111
E09000028,Southwark,1999-00,212
E09000029,Sutton,1999-00,149
E09000030,Tower Hamlets,1999-00,507
E09000031,Waltham Forest,1999-00,261
E09000032,Wandsworth,1999-00,273
E09000033,Westminster,1999-00,343
E12000007,London,1999-00,"8,287"
E92000001,England,1999-00,"35,091"
E09000001,City of London,2000-01,130
E09000002,Barking and Dagenham,2000-01,238
E09000003,Barnet,2000-01,223
E09000004,Bexley,2000-01,51
E09000005,Brent,2000-01,413
E09000006,Bromley,2000-01,327
E09000007,Camden,2000-01,233
E09000008,Croydon,2000-01,322
E09000009,Ealing,2000-01,177
E09000010,Enfield,2000-01,341
E09000011,Greenwich,2000-01,297
E09000012,Hackney,2000-01,340
E09000013,Hammersmith and Fulham,2000-01,209
E09000014,Haringey,2000-01,358
E09000015,Harrow,2000-01,139
E09000016,Havering,2000-01,42
E09000017,Hillingdon,2000-01,385
E09000018,Hounslow,2000-01,106
E09000019,Islington,2000-01,230
E09000020,Kensington and Chelsea,2000-01,124
E09000021,Kingston upon Thames,2000-01,151
E09000022,Lambeth,2000-01,324
E09000023,Lewisham,2000-01,321
E09000024,Merton,2000-01,101
E09000025,Newham,2000-01,280
E09000026,Redbridge,2000-01,196
E09000027,Richmond upon Thames,2000-01,79
E09000028,Southwark,2000-01,305
E09000029,Sutton,2000-01,246
E09000030,Tower Hamlets,2000-01,354
E09000031,Waltham Forest,2000-01,416
E09000032,Wandsworth,2000-01,194
E09000033,Westminster,2000-01,617
E12000007,London,2000-01,"8,273"
E92000001,England,2000-01,"33,159"
E09000001,City of London,2001-02,90
E09000002,Barking and Dagenham,2001-02,330
E09000003,Barnet,2001-02,226
E09000004,Bexley,2001-02,40
E09000005,Brent,2001-02,447
E09000006,Bromley,2001-02,183
E09000007,Camden,2001-02,232
E09000008,Croydon,2001-02,508
E09000009,Ealing,2001-02,167
E09000010,Enfield,2001-02,563
E09000011,Greenwich,2001-02,413
E09000012,Hackney,2001-02,366
E09000013,Hammersmith and Fulham,2001-02,151
E09000014,Haringey,2001-02,319
E09000015,Harrow,2001-02,130
E09000016,Havering,2001-02,200
E09000017,Hillingdon,2001-02,277
E09000018,Hounslow,2001-02,236
E09000019,Islington,2001-02,171
E09000020,Kensington and Chelsea,2001-02,116
E09000021,Kingston upon Thames,2001-02,88
E09000022,Lambeth,2001-02,244
E09000023,Lewisham,2001-02,283
E09000024,Merton,2001-02,125
E09000025,Newham,2001-02,444
E09000026,Redbridge,2001-02,270
E09000027,Richmond upon Thames,2001-02,74
E09000028,Southwark,2001-02,258
E09000029,Sutton,2001-02,155
E09000030,Tower Hamlets,2001-02,511
E09000031,Waltham Forest,2001-02,276
E09000032,Wandsworth,2001-02,165
E09000033,Westminster,2001-02,432
E12000007,London,2001-02,"8,493"
E92000001,England,2001-02,"33,015"
E09000001,City of London,2002-03,10
E09000002,Barking and Dagenham,2002-03,204
E09000003,Barnet,2002-03,231
E09000004,Bexley,2002-03,262
E09000005,Brent,2002-03,328
E09000006,Bromley,2002-03,267
E09000007,Camden,2002-03,131
E09000008,Croydon,2002-03,511
E09000009,Ealing,2002-03,257
E09000010,Enfield,2002-03,493
E09000011,Greenwich,2002-03,325
E09000012,Hackney,2002-03,503
E09000013,Hammersmith and Fulham,2002-03,136
E09000014,Haringey,2002-03,233
E09000015,Harrow,2002-03,176
E09000016,Havering,2002-03,96
E09000017,Hillingdon,2002-03,208
E09000018,Hounslow,2002-03,190
E09000019,Islington,2002-03,246
E09000020,Kensington and Chelsea,2002-03,75
E09000021,Kingston upon Thames,2002-03,89
E09000022,Lambeth,2002-03,304
E09000023,Lewisham,2002-03,403
E09000024,Merton,2002-03,135
E09000025,Newham,2002-03,383
E09000026,Redbridge,2002-03,259
E09000027,Richmond upon Thames,2002-03,32
E09000028,Southwark,2002-03,372
E09000029,Sutton,2002-03,283
E09000030,Tower Hamlets,2002-03,593
E09000031,Waltham Forest,2002-03,409
E09000032,Wandsworth,2002-03,174
E09000033,Westminster,2002-03,157
E12000007,London,2002-03,"8,479"
E92000001,England,2002-03,"32,923"
E09000001,City of London,2003-04,0
E09000002,Barking and Dagenham,2003-04,317
E09000003,Barnet,2003-04,243
E09000004,Bexley,2003-04,171
E09000005,Brent,2003-04,427
E09000006,Bromley,2003-04,276
E09000007,Camden,2003-04,111
E09000008,Croydon,2003-04,411
E09000009,Ealing,2003-04,341
E09000010,Enfield,2003-04,444
E09000011,Greenwich,2003-04,697
E09000012,Hackney,2003-04,554
E09000013,Hammersmith and Fulham,2003-04,446
E09000014,Haringey,2003-04,517
E09000015,Harrow,2003-04,160
E09000016,Havering,2003-04,136
E09000017,Hillingdon,2003-04,305
E09000018,Hounslow,2003-04,451
E09000019,Islington,2003-04,307
E09000020,Kensington and Chelsea,2003-04,191
E09000021,Kingston upon Thames,2003-04,123
E09000022,Lambeth,2003-04,430
E09000023,Lewisham,2003-04,546
E09000024,Merton,2003-04,180
E09000025,Newham,2003-04,404
E09000026,Redbridge,2003-04,216
E09000027,Richmond upon Thames,2003-04,151
E09000028,Southwark,2003-04,491
E09000029,Sutton,2003-04,312
E09000030,Tower Hamlets,2003-04,740
E09000031,Waltham Forest,2003-04,442
E09000032,Wandsworth,2003-04,221
E09000033,Westminster,2003-04,149
E12000007,London,2003-04,"10,910"
E92000001,England,2003-04,"38,069"
E09000001,City of London,2004-05,0
E09000002,Barking and Dagenham,2004-05,288
E09000003,Barnet,2004-05,254
E09000004,Bexley,2004-05,154
E09000005,Brent,2004-05,314
E09000006,Bromley,2004-05,195
E09000007,Camden,2004-05,246
E09000008,Croydon,2004-05,391
E09000009,Ealing,2004-05,452
